dm_1 foto_1 straaling_1 temp_1 lai_1 meldug_1 lai_0 dm_2 foto_2 straaling_2 temp_2 lai_2 meldug_2 dm_3 foto_3 straaling_3 temp_3 lai_3 meldug_3 dm_4 foto_4 straaling_4 temp_4 lai_4 meldug_4 mikro_1 middel_1 mikro_2 middel_2 mikro_3 middel_3 nedboer_1 nedboer_2 nedboer_3 udbytte
7 6 3 2 1 7 3 11 5 1 0 1 7 5 0 1 2 0 7 9 4 2 3 0 8 1 0 0 0 3 0 2 1 2 8
9 8 0 1 5 3 6 18 8 0 2 4 0 44 18 3 2 3 0 48 8 0 2 1 0 1 1 2 0 2 0 2 1 0 41
5 5 2 2 1 8 5 10 6 2 0 1 5 20 9 2 1 1 2 17 1 0 3 0 0 3 1 1 1 2 1 2 2 1 14
11 9 1 1 6 0 6 21 9 1 3 6 0 41 16 1 2 4 0 46 7 0 1 1 0 1 3 3 0 1 1 1 2 1 39
16 12 1 1 7 3 7 27 10 1 1 6 5 47 17 1 1 4 2 53 7 0 3 1 0 1 0 0 1 3 3 1 0 2 45
16 11 2 0 2 7 4 21 5 1 3 1 5 26 6 2 3 1 1 18 0 0 3 0 0 1 2 3 1 2 2 2 2 0 15
15 10 1 3 6 0 6 37 15 2 0 6 0 64 21 2 2 4 0 68 8 1 2 1 0 2 3 1 2 2 2 1 1 0 58
14 11 2 0 5 2 5 31 12 2 1 5 0 52 16 2 2 3 0 57 8 0 1 1 0 1 2 3 0 3 0 2 1 2 49
6 7 0 2 7 4 6 24 13 2 3 7 0 51 20 2 2 5 0 65 13 1 3 2 0 1 2 3 1 1 0 0 1 2 55
12 9 1 3 6 3 6 26 11 2 1 6 2 48 16 1 2 3 0 49 5 0 2 1 0 3 1 0 2 2 1 2 0 1 42
7 6 1 3 2 8 6 23 11 2 1 2 6 27 6 2 1 1 3 21 0 1 1 0 0 3 1 3 3 0 2 1 1 1 17
9 7 1 1 3 2 3 24 11 2 1 3 0 45 16 2 1 2 0 54 10 1 1 1 0 0 3 1 0 0 2 0 2 0 46
7 7 1 3 3 5 4 22 10 2 2 3 1 41 15 1 1 2 0 52 11 0 2 1 0 3 3 2 1 1 0 1 1 2 44
0 1 1 1 0 8 4 0 0 2 2 0 8 0 0 0 1 0 3 1 3 1 2 0 2 1 0 3 1 0 0 2 1 1 1
16 11 2 3 4 7 6 28 10 2 1 4 4 53 17 2 2 3 3 58 9 2 3 1 0 3 2 0 0 3 2 2 0 2 50
7 6 0 0 3 7 6 17 9 1 2 3 2 39 16 2 2 2 0 44 7 0 3 1 0 0 1 3 2 2 2 0 1 0 38
14 10 2 1 4 4 5 27 10 2 3 3 0 48 16 2 1 2 0 52 7 0 2 1 0 0 3 3 1 2 0 1 2 0 44
12 9 1 1 3 1 4 25 11 2 1 3 0 38 11 1 1 2 0 48 10 1 1 1 0 1 3 3 1 0 2 2 2 0 41
11 9 1 0 7 0 6 29 13 2 1 7 0 54 19 1 1 5 0 68 13 1 2 2 0 0 3 0 1 0 1 0 1 0 58
9 8 0 3 4 3 4 20 9 2 1 3 5 48 20 3 1 2 3 56 9 1 2 1 0 2 0 1 0 3 2 0 2 1 48
15 11 2 2 5 1 5 30 11 2 1 4 0 51 16 1 3 3 0 53 7 1 1 1 0 3 3 0 2 3 3 2 1 2 45
13 9 2 2 2 8 5 18 6 1 2 2 4 24 7 2 3 1 1 18 0 1 1 0 0 0 2 3 3 2 3 0 2 1 16
10 8 1 1 4 5 5 16 7 1 3 3 5 36 14 2 3 2 1 54 15 2 1 1 0 1 0 3 1 1 1 2 2 2 46
16 11 2 1 5 2 4 28 10 3 3 3 6 43 12 2 2 2 3 59 13 2 2 1 0 3 0 2 3 3 3 2 1 2 50
13 9 1 1 6 3 5 32 13 2 2 6 3 64 22 2 1 4 1 71 9 0 2 1 1 1 0 3 3 0 0 2 2 0 60
14 10 1 1 7 4 6 30 13 2 1 7 1 52 16 0 2 6 0 71 15 2 2 2 0 3 1 2 2 3 0 2 0 2 61
17 12 2 1 4 0 5 31 10 2 1 3 0 46 13 2 3 2 0 55 10 1 2 1 0 1 0 0 2 2 2 2 0 1 47
15 11 3 3 3 4 3 25 8 1 3 3 3 44 15 3 2 2 0 52 9 0 3 1 0 3 1 3 3 1 1 1 2 1 44
10 8 0 1 6 5 7 19 8 1 3 6 5 45 18 2 3 5 0 58 13 1 1 2 0 0 0 3 2 3 3 1 2 2 49
2 4 2 1 1 8 5 15 10 3 1 1 6 11 1 1 1 0 3 10 3 0 3 0 0 0 2 3 1 2 2 0 2 1 9
8 6 1 0 1 8 6 13 6 2 3 1 4 23 8 1 1 1 0 26 5 1 2 0 0 0 2 2 3 2 3 0 0 1 22
12 9 1 1 3 4 4 21 8 1 3 3 0 34 11 1 3 2 0 40 9 1 1 1 0 1 2 3 2 3 0 1 1 2 34
11 9 1 1 6 6 6 21 9 1 2 5 0 42 15 2 2 3 0 52 11 1 2 1 0 0 1 2 3 2 1 0 0 1 44
24 16 3 1 7 2 7 38 11 2 1 7 2 62 19 2 2 5 0 72 12 2 3 2 0 2 0 1 2 1 0 0 2 1 61
14 11 1 1 4 7 6 26 10 2 0 3 5 42 13 1 2 2 1 43 5 0 1 0 0 1 1 1 3 1 1 1 2 1 37
9 7 0 1 4 4 4 19 9 1 0 4 2 43 17 2 2 3 0 53 10 0 1 1 0 2 1 1 2 2 1 0 2 1 45
10 7 1 2 3 5 4 24 10 2 1 4 0 54 21 2 1 3 0 62 10 1 1 1 0 2 2 0 3 3 0 0 0 1 53
12 9 1 1 6 0 5 26 11 1 1 7 0 51 19 2 3 5 0 60 10 2 2 1 0 1 1 3 3 2 1 2 2 0 51
10 8 1 1 3 2 3 23 10 1 1 3 1 41 14 2 1 2 0 47 8 1 2 1 0 0 0 2 3 2 0 1 0 0 40
16 11 2 1 4 3 5 29 11 2 1 4 0 57 19 2 2 3 0 64 9 0 2 1 0 0 3 0 0 0 3 0 0 0 54
13 9 1 0 3 3 3 22 8 1 1 3 0 45 17 3 1 2 0 57 11 0 2 1 0 1 2 1 0 2 1 1 2 0 49
16 11 2 1 5 4 6 24 8 1 0 4 4 50 19 2 1 3 0 65 13 1 1 1 0 3 0 0 2 3 3 2 0 2 55
8 7 1 3 3 7 5 24 12 2 1 3 3 34 10 0 3 2 1 38 6 1 2 1 0 2 1 1 1 3 1 0 1 2 33
8 7 0 1 4 3 4 20 10 3 1 3 0 38 15 2 2 2 0 40 5 0 1 1 0 2 2 0 2 1 0 0 0 2 34
14 11 1 1 3 7 6 23 9 2 2 3 3 43 15 1 1 2 1 48 8 0 3 1 0 2 3 3 2 3 3 0 2 1 41
14 11 2 2 5 4 6 29 11 2 1 5 0 46 14 1 3 3 0 49 7 0 2 1 0 0 2 2 1 3 3 0 0 2 42
13 10 2 1 4 5 5 22 8 1 1 3 6 42 14 2 2 2 0 52 10 0 2 1 0 1 0 0 3 3 2 2 1 2 44
20 13 2 2 5 6 6 30 9 1 2 5 2 53 18 2 1 3 0 64 11 2 2 1 0 1 1 1 2 2 0 2 2 0 55
18 13 3 1 7 1 7 35 12 1 0 7 2 62 20 2 2 5 0 64 7 0 3 1 0 3 0 0 2 0 2 0 0 1 54
8 7 2 1 2 8 5 14 6 1 1 2 1 32 14 1 2 2 0 38 8 0 1 1 0 2 3 0 2 2 3 1 1 0 32
12 9 1 0 3 7 6 24 9 1 1 3 4 38 11 1 1 2 4 42 7 1 2 1 0 1 1 0 0 1 3 2 1 2 36
8 7 0 1 6 3 7 24 12 2 3 7 0 42 15 0 3 6 0 54 11 0 2 2 0 1 2 3 3 3 3 2 1 2 46
18 13 2 0 5 0 6 37 14 2 0 6 0 59 18 1 3 4 0 72 12 1 1 1 0 1 1 1 1 3 3 1 2 2 61
9 7 2 1 1 8 4 5 0 1 1 0 8 0 0 2 2 0 4 0 1 1 3 0 3 2 0 1 2 0 0 1 1 1 0
6 7 1 3 2 8 5 15 8 2 1 2 5 23 7 1 2 1 2 18 0 0 1 0 4 3 2 0 3 3 0 2 0 2 16
14 10 1 1 6 4 6 28 11 2 1 7 0 62 23 3 2 5 0 66 8 1 1 1 0 2 2 1 3 0 0 0 1 0 56
20 14 3 1 5 6 6 33 10 2 3 5 4 57 18 1 2 4 0 61 8 0 1 1 0 3 1 2 2 3 1 2 0 2 52
13 10 1 1 6 0 6 28 11 1 0 5 0 58 21 2 1 4 0 62 9 0 2 1 0 1 3 1 3 1 2 2 1 1 52
9 8 2 2 1 8 4 19 8 2 1 1 5 26 8 1 2 1 2 32 7 2 1 0 0 2 1 1 3 3 1 0 1 2 27
17 11 2 3 4 7 6 29 9 1 2 4 4 54 18 2 1 3 6 53 5 0 3 1 1 2 2 3 0 2 3 0 1 1 45
8 7 1 1 2 8 6 17 8 2 1 2 7 31 11 2 2 1 3 33 6 2 1 0 0 1 0 0 1 1 3 2 1 1 28
17 12 2 1 4 7 6 33 12 2 0 4 2 52 16 2 2 3 0 54 6 0 1 1 0 0 2 0 3 2 2 0 0 0 46
5 6 1 1 2 6 3 11 6 2 0 1 7 17 7 0 1 1 2 17 4 0 1 0 0 2 0 1 1 3 3 0 2 1 15
12 10 2 1 4 7 5 26 10 1 1 4 3 47 16 1 1 2 1 39 0 0 3 1 1 1 2 1 1 1 0 2 2 2 33
8 7 0 1 4 3 4 21 11 1 1 4 0 50 21 2 0 3 0 54 7 1 3 1 0 0 1 0 3 1 2 0 1 2 46
6 7 0 1 6 4 7 17 9 1 1 7 0 44 19 2 1 5 0 58 12 1 2 1 0 1 3 3 0 1 0 2 2 1 50
8 7 0 1 3 0 3 21 10 2 1 3 0 38 13 1 2 2 0 51 12 2 3 1 0 2 3 0 0 3 1 1 1 2 43
12 9 1 3 4 1 4 30 13 2 0 4 0 50 16 2 3 3 0 55 8 1 1 1 0 0 1 1 0 3 1 0 1 2 47
17 12 1 1 6 1 6 35 13 2 0 6 2 53 15 0 2 4 0 64 11 2 1 1 0 2 0 1 2 1 1 0 0 2 55
12 9 1 2 4 4 4 27 11 2 0 3 0 45 15 1 1 2 0 53 9 2 1 1 0 0 3 1 3 0 1 0 1 0 45
17 11 3 3 5 2 5 31 11 1 1 4 0 50 16 2 2 3 0 66 13 1 2 1 0 2 1 1 0 3 3 0 2 2 56
15 11 2 1 4 5 4 30 11 2 1 3 6 49 15 1 2 2 2 41 0 2 3 1 0 2 0 0 2 0 2 0 0 0 35
13 9 2 2 3 6 4 29 11 3 0 2 7 32 6 0 2 1 1 25 0 1 2 0 0 3 0 0 2 0 1 1 1 0 21
12 10 1 2 5 0 5 25 10 1 1 5 0 43 15 2 2 3 0 49 8 0 3 1 0 0 2 3 1 1 2 0 0 1 42
18 13 2 1 7 4 7 24 7 2 2 2 8 39 11 1 1 1 6 30 0 0 1 0 1 3 0 1 1 3 3 1 1 1 26
22 15 3 0 4 0 5 32 9 1 1 5 0 54 16 1 2 4 0 58 8 2 3 1 0 1 1 1 3 1 3 2 2 1 50
10 8 0 1 7 3 6 25 10 1 2 6 3 49 17 2 2 4 0 54 7 1 3 1 0 3 0 3 3 1 3 1 0 2 46
10 8 0 1 7 0 6 24 10 1 1 7 0 48 18 1 2 5 0 53 8 0 2 1 0 3 2 2 0 3 2 2 0 0 45
9 7 2 3 2 7 5 19 9 1 0 2 3 40 15 1 2 2 0 52 11 2 1 1 0 2 1 1 2 2 0 1 1 0 44
15 11 2 0 3 7 5 27 10 2 1 3 1 45 14 1 2 2 0 50 7 1 3 1 0 1 3 2 3 3 0 1 0 1 43
22 15 3 0 6 5 6 34 10 1 1 6 1 61 20 1 1 4 0 64 7 1 2 1 0 0 2 1 1 3 2 0 2 1 54
14 11 1 0 6 2 6 29 12 3 3 7 0 61 22 2 3 5 0 67 8 0 2 1 0 3 3 3 2 3 3 2 1 1 57
19 13 2 1 5 4 6 33 11 1 2 5 0 50 14 2 3 3 0 53 6 0 2 1 0 0 3 3 1 2 2 0 2 0 45
8 7 0 2 5 5 7 19 9 2 2 4 0 42 16 1 3 3 0 46 8 0 2 1 1 2 3 2 1 2 0 0 0 0 39
17 12 2 3 6 0 6 32 12 2 1 6 0 53 16 1 1 4 0 55 7 0 2 1 0 3 2 3 2 2 2 2 2 0 47
10 8 2 3 3 4 4 22 11 2 0 4 0 44 16 1 2 3 0 53 10 2 1 1 0 3 2 1 2 3 2 2 1 2 45
9 8 1 1 2 0 3 14 6 1 3 2 0 19 5 1 1 1 0 19 4 1 2 0 0 3 3 2 2 0 1 2 0 0 16
19 14 2 0 4 7 6 30 9 2 2 3 1 44 13 1 2 2 0 37 0 0 1 0 0 0 2 2 3 3 3 0 1 2 31
11 9 2 1 3 3 3 23 10 1 1 3 0 40 13 1 2 2 0 37 2 1 2 0 0 3 3 3 0 3 1 2 2 2 32
21 15 3 1 6 3 6 38 14 2 1 6 0 65 19 2 1 4 0 71 9 1 1 1 0 1 3 0 2 3 0 2 0 1 60
13 9 1 2 5 6 5 25 10 1 0 4 3 50 19 1 1 3 0 51 5 0 2 1 0 2 2 0 1 1 0 0 0 2 43
19 13 2 1 6 4 5 31 11 1 2 6 0 56 19 2 2 4 0 74 15 1 1 2 0 3 3 3 1 3 0 2 1 2 63
10 8 0 1 6 1 6 28 13 2 2 6 0 55 20 1 1 4 0 66 11 2 1 1 0 2 1 2 1 0 3 0 1 1 56
14 11 1 1 5 1 5 27 9 1 1 6 0 46 16 1 2 4 0 54 9 1 3 1 0 1 3 3 1 2 0 2 2 0 46
5 5 0 2 2 8 4 13 8 2 1 2 5 25 9 2 2 1 0 19 1 0 2 0 0 1 0 1 3 3 0 2 1 2 16
7 6 0 1 2 8 5 20 9 1 1 2 6 28 9 2 1 1 0 27 3 1 1 0 0 1 1 1 2 1 2 0 1 2 23
13 10 1 1 4 3 5 24 9 1 1 4 0 51 19 2 1 3 0 54 7 0 2 1 0 3 1 2 2 3 0 1 1 1 46
21 14 2 0 4 7 6 38 13 2 1 4 3 59 18 1 2 3 0 60 7 0 2 1 0 0 1 3 2 3 1 0 2 1 51
23 16 3 1 5 0 6 37 11 2 1 5 0 51 13 1 2 3 0 61 10 0 3 1 0 2 2 1 3 1 0 0 1 2 52
12 9 0 1 6 1 6 30 12 2 1 6 4 52 17 1 3 4 0 59 9 0 2 1 0 2 0 1 3 3 0 1 2 2 50
16 11 1 1 6 4 7 34 12 1 1 6 0 58 17 0 1 4 0 64 9 1 2 1 0 3 3 1 1 3 0 0 2 2 55
7 6 0 2 2 7 3 19 9 2 1 2 4 38 15 1 1 2 0 40 6 0 2 1 0 0 0 1 1 1 1 0 2 2 34
11 8 0 1 3 4 3 23 10 1 1 3 0 39 13 2 2 2 0 30 0 0 2 0 0 0 3 3 3 0 2 0 1 1 26
4 5 1 1 1 8 3 1 0 2 1 0 5 6 5 2 2 0 2 2 0 2 3 0 0 0 1 0 3 2 3 0 0 0 1
8 7 1 3 4 6 6 11 4 2 1 1 8 11 4 1 1 0 2 9 2 0 3 0 0 3 0 2 2 3 1 1 0 2 7
9 8 1 0 4 6 4 21 9 1 0 4 0 44 17 2 3 3 0 46 6 0 1 1 0 1 2 1 3 3 0 2 1 2 39
11 9 1 1 3 1 4 23 9 2 2 3 0 45 16 2 2 2 0 54 10 0 3 1 0 1 2 1 3 3 1 1 2 1 46
20 13 2 3 7 5 7 31 9 1 1 4 7 54 18 2 1 3 1 59 8 1 2 1 0 2 0 0 1 3 2 0 1 0 50
13 9 1 3 5 6 6 23 8 1 2 5 2 47 17 2 2 3 0 61 13 1 1 1 0 3 2 1 1 1 2 2 1 2 52
10 8 1 1 2 8 6 18 8 1 1 2 3 36 13 1 2 2 3 48 11 1 2 1 0 2 3 1 0 3 3 0 2 2 41
12 8 1 1 5 3 6 23 9 1 1 4 1 35 10 1 2 2 1 44 9 0 2 1 3 0 1 2 0 3 0 1 1 2 38
11 9 1 2 4 1 4 22 9 1 1 4 0 50 20 1 1 3 0 57 9 1 2 1 0 1 0 0 1 0 3 0 0 0 49
19 13 1 0 6 4 6 33 12 1 1 7 0 67 24 3 1 4 0 74 10 0 3 1 0 1 2 0 1 1 3 2 0 2 63
15 11 1 1 5 4 5 32 12 2 1 5 5 52 15 0 3 3 2 56 9 0 1 1 3 2 0 2 2 3 0 0 1 0 48
16 12 2 1 6 5 6 30 11 2 1 5 4 44 12 0 3 3 0 55 11 1 1 1 0 3 1 0 1 3 0 1 0 1 47
7 6 0 1 5 3 6 19 10 1 2 5 3 52 23 2 1 4 1 59 8 2 1 1 0 1 0 3 1 2 2 2 1 1 50
16 11 2 3 5 1 5 31 12 2 1 6 4 68 25 3 1 4 6 72 9 1 1 1 1 2 0 3 0 2 2 0 1 1 61
13 10 2 2 3 7 5 29 12 2 0 3 1 40 11 0 2 2 0 53 11 1 1 1 0 0 3 0 2 3 2 0 1 2 45
19 13 2 1 7 0 7 29 9 1 1 7 0 60 23 2 1 5 0 67 10 0 2 2 0 3 1 1 0 1 1 1 1 2 57
22 14 2 1 7 4 6 33 9 1 2 7 1 56 17 0 3 5 0 67 12 1 3 2 0 3 3 3 1 2 3 2 1 1 57
20 14 2 1 5 5 6 30 9 1 0 4 5 41 11 2 2 2 7 48 8 1 1 1 5 1 0 2 0 2 1 1 0 0 41
17 12 2 1 4 2 5 29 10 2 1 3 0 45 14 2 2 2 0 54 10 1 2 1 0 2 1 2 1 3 3 0 1 2 46
22 15 3 1 6 1 6 39 13 2 2 7 0 64 20 2 2 4 0 73 11 2 2 1 0 3 1 1 1 1 1 1 2 1 62
12 9 1 0 5 5 5 29 12 2 2 6 0 54 18 1 3 4 0 61 10 0 2 1 2 1 1 3 3 3 0 2 1 2 52
8 7 0 1 6 3 6 21 10 1 3 6 0 49 19 2 1 4 0 57 9 0 1 1 0 2 1 3 3 3 0 0 2 1 48
10 8 2 1 2 8 6 26 11 2 0 3 3 43 14 2 3 2 2 47 7 0 2 1 0 3 2 0 0 3 1 0 0 1 40
14 10 1 0 5 5 6 27 10 2 2 4 5 44 15 2 2 3 1 53 10 0 1 1 0 0 0 3 2 3 1 0 1 1 45
11 8 0 1 5 6 5 28 12 2 1 4 2 47 15 2 2 3 0 48 7 1 2 1 0 3 2 2 1 3 0 2 0 2 41
9 7 0 1 3 6 4 19 7 2 0 1 8 34 11 1 1 1 2 25 0 1 2 0 4 3 0 0 3 1 0 2 0 1 21
18 13 2 1 4 6 5 29 9 1 1 3 2 45 13 2 2 2 0 51 8 0 1 1 0 1 1 1 3 0 3 2 2 0 44
9 8 2 1 2 7 5 16 6 1 2 2 1 42 18 2 2 2 0 49 9 0 1 1 0 1 2 2 3 1 0 2 0 1 42
15 11 2 3 4 2 5 28 11 2 2 4 0 44 13 1 2 3 0 49 8 2 2 1 0 2 2 3 0 3 0 0 2 2 42
8 7 0 1 3 7 5 19 9 2 0 2 5 24 7 1 2 1 0 24 5 1 2 0 0 0 0 1 1 2 2 1 1 1 20
15 11 1 2 6 1 6 31 12 1 1 6 0 57 18 2 2 4 0 70 12 1 2 1 0 1 2 1 3 3 3 1 2 2 60
8 8 1 2 6 1 6 22 11 1 1 5 0 48 18 1 2 4 0 56 10 1 3 1 0 0 1 3 2 3 2 0 2 2 47
17 12 1 1 6 3 6 33 12 1 1 5 0 55 17 1 1 3 0 58 7 0 2 1 0 3 3 2 0 3 3 2 0 1 49
9 8 0 1 5 1 4 22 10 1 1 5 0 51 21 2 1 4 0 61 11 0 1 1 0 2 2 1 1 1 1 0 2 0 52
22 15 3 1 5 6 6 36 11 1 2 4 5 64 20 3 2 3 2 70 9 1 1 1 1 3 2 0 1 1 0 1 0 1 60
8 7 1 3 4 1 4 17 8 1 1 4 0 30 11 2 2 2 0 39 9 1 3 1 0 3 3 0 0 3 2 2 1 2 33
18 12 2 1 7 0 7 34 13 2 1 6 0 56 16 2 3 4 0 66 11 2 3 1 0 1 1 1 3 2 0 1 2 0 56
13 10 2 3 5 0 5 29 11 3 1 4 0 48 15 1 3 3 0 48 6 0 2 1 0 3 0 1 0 3 3 1 2 2 41
9 8 0 0 6 1 5 13 6 0 3 6 0 43 20 1 2 4 0 50 8 2 2 1 0 1 2 3 2 3 1 2 2 2 42
7 6 0 1 4 7 6 11 5 2 0 1 8 7 0 1 1 0 4 3 0 0 2 0 1 3 0 1 2 2 2 2 1 0 3
13 9 1 2 4 7 5 27 11 2 2 4 3 47 16 1 2 3 0 51 7 0 2 1 0 3 3 1 2 3 1 2 2 1 44
7 6 1 1 2 7 3 12 5 0 1 2 1 21 9 0 1 1 0 24 5 1 3 0 0 0 2 3 2 0 1 0 2 0 21
6 5 0 1 2 8 6 10 5 2 3 1 5 24 11 2 1 1 6 18 0 0 1 0 4 2 2 2 0 3 3 0 1 2 16
14 10 1 1 5 5 5 28 10 1 0 5 2 51 17 1 1 3 0 54 7 0 2 1 0 2 1 1 3 1 2 0 2 2 46
17 11 1 1 6 1 5 36 13 2 2 6 0 63 20 3 3 4 0 69 8 1 2 1 0 3 2 3 2 3 1 2 0 1 58
13 9 1 1 4 5 5 28 11 2 2 4 0 47 15 2 1 3 0 54 9 0 1 1 0 1 3 3 0 0 1 1 1 0 46
12 10 1 1 5 3 6 22 9 1 1 4 5 43 16 1 1 2 5 46 7 1 2 1 0 1 0 1 0 3 3 1 2 1 39
20 13 2 2 7 2 7 32 9 1 1 7 1 54 17 0 2 5 4 66 11 0 2 2 0 2 1 3 0 3 3 0 1 1 56
8 7 0 3 5 6 6 24 11 1 0 6 2 46 16 1 2 4 2 54 10 0 1 1 0 2 2 1 0 2 1 0 2 0 46
17 12 2 3 5 0 5 31 12 2 1 6 0 60 21 1 1 5 0 82 18 2 1 2 0 2 2 1 2 3 3 0 2 1 70
8 7 0 1 6 4 6 28 14 2 1 6 2 46 15 1 1 4 0 53 9 1 3 1 0 1 0 0 2 1 0 2 0 2 45
9 8 1 0 2 7 4 15 7 1 0 2 5 21 7 1 2 1 6 15 0 2 2 0 7 1 1 1 0 1 0 1 2 2 13
